iter	Passed	Remaining
0	6	6418
1	9	4712
2	12	4084
3	14	3544
4	16	3291
5	18	3091
6	21	2992
7	23	2931
8	26	2894
9	28	2821
10	30	2758
11	32	2677
12	34	2641
13	37	2672
14	41	2747
15	45	2784
16	48	2810
17	53	2941
18	57	2993
19	62	3043
20	65	3054
21	69	3085
22	73	3113
23	77	3155
24	80	3147
25	85	3192
26	89	3218
27	92	3227
28	95	3202
29	99	3216
30	103	3227
31	106	3229
32	109	3217
33	114	3240
34	117	3238
35	120	3236
36	123	3225
37	127	3234
38	131	3232
39	133	3213
40	137	3209
41	141	3230
42	145	3227
43	148	3221
44	152	3228
45	156	3240
46	160	3255
47	164	3255
48	167	3251
49	171	3259
50	174	3250
51	178	3252
52	182	3254
53	186	3262
54	189	3260
55	194	3271
56	197	3268
57	200	3261
58	202	3234
59	206	3227
60	209	3219
61	212	3212
62	215	3205
63	218	3199
64	221	3191
65	225	3192
66	229	3191
67	232	3184
68	235	3180
69	239	3176
70	242	3170
71	245	3163
72	248	3158
73	252	3155
74	255	3150
75	258	3146
76	262	3150
77	266	3145
78	269	3138
79	272	3132
80	275	3127
81	279	3128
82	282	3122
83	285	3118
84	289	3111
85	292	3108
86	295	3106
87	299	3101
88	302	3094
89	306	3098
90	309	3092
91	312	3086
92	315	3080
93	319	3077
94	323	3079
95	326	3075
96	329	3071
97	331	3054
98	335	3049
99	338	3044
100	341	3039
101	344	3033
102	347	3028
103	351	3025
104	354	3022
105	357	3018
106	361	3017
107	364	3012
108	367	3007
109	371	3003
110	374	2999
111	377	2994
112	381	2992
113	384	2988
114	387	2985
115	390	2979
116	394	2974
117	397	2969
118	400	2964
119	403	2959
120	406	2954
121	409	2949
122	413	2944
123	416	2940
124	419	2935
125	422	2931
126	425	2926
127	428	2922
128	432	2917
129	434	2908
130	437	2904
131	440	2899
132	444	2896
133	447	2893
134	450	2888
135	453	2884
136	457	2879
137	460	2875
138	462	2866
139	466	2865
140	469	2861
141	473	2859
142	476	2855
143	479	2851
144	482	2847
145	487	2850
146	496	2882
147	499	2877
148	502	2872
149	506	2867
150	509	2864
151	512	2861
152	516	2858
153	519	2855
154	522	2850
155	525	2840
