ID,HouseType,Size,MonthlyRentals,City,Sauna,Balcony,Address,Latitude,Longitude,Number_Of_Rooms
4561,kerrostalo,17.8,295,Helsinki,0,0,"Ida Aalbergin, 00400, Helsinki",60.2304113,24.90026,1
6711,kerrostalo,17.8,295,Helsinki,0,0,"Ida Aalbergin, 00400, Helsinki",60.2304113,24.90026,1
16643,kerrostalo,17.8,295,Helsinki,0,0,"Ida Aalbergin, 00400, Helsinki",60.2304113,24.90026,1
13998,kerrostalo,25,350,Helsinki,0,0,"Valhallankatu 5.A.1, 00250, Helsinki",60.184918,24.912827,0
7619,kerrostalo,25,370,Helsinki,0,0,"Valhallankatu 5, 00250, Helsinki",60.1840283,24.913289,0
15113,kerrostalo,35,400,Helsinki,0,1,"Kaarikuja 2, 00940, Helsinki",60.2403325,25.07525595,1
14260,kerrostalo,12,450,Helsinki,0,1,"Keinutie 11, 00940, Helsinki",60.2358498,25.0677941,1
2459,kerrostalo,55,495,Helsinki,0,0,"Jokiniementie 40, 00650, Helsinki",60.2304067,24.9732224,2
8157,kerrostalo,90,499,Helsinki,0,0,"Pelimannintie 24-26, 00420, Helsinki",60.2379307,24.8821565,0
7791,kerrostalo,,499,Helsinki,0,0,"Trumpettitie 6, 00420, Helsinki",60.2387836,24.86835493,0
8150,kerrostalo,60.5,499,Helsinki,0,0,"Hakaniemenranta 26, 00530, Helsinki",60.1782575,24.9561991,0
14513,kerrostalo,68.5,499,Helsinki,0,0,"Jarrumiehenkatu 2B, 00530, Helsinki",60.2011026,24.9404636,0
8208,kerrostalo,76,499,Helsinki,0,0,"Radiokatu 6, 00240, Helsinki",60.20203475,24.92289017,0
1158,kerrostalo,25.5,500,Helsinki,0,0,"Porttikuja 11, 00940, Helsinki",60.2334284,25.08436645,1
3302,kerrostalo,25.5,500,Helsinki,0,0,"Porttikuja 11, 00940, Helsinki",60.2334284,25.08436645,1
12174,kerrostalo,13,500,Helsinki,0,0,"Sallatunturintie 1, 00970, Helsinki",60.2355689,25.11989533,5
14319,kerrostalo,9,522,Helsinki,0,0,"Kutomotie 9, 00380, Helsinki",60.21588545,24.87115705,0
837,kerrostalo,10,522,Helsinki,0,0,"Kutomotie 9, 00380, Helsinki",60.21588545,24.87115705,0
10515,kerrostalo,14,522,Helsinki,0,0,"Kutomotie 9, 00380, Helsinki",60.21588545,24.87115705,0
16507,kerrostalo,7,534,Helsinki,0,0,"Liusketie 16, 00710, Helsinki",60.2351034,25.0119644,0
